epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7812,1.40656,1.90027,1.52892,0.72711,0.75203,0.79998,0.43648,1.29165,1.3262,1.46101,0.000463459,0.000463459,0.000463459
2,22.7333,1.17767,1.14232,1.31584,0.72737,0.83514,0.86992,0.53841,1.1629,1.40779,1.40649,0.000930489,0.000930489,0.000930489
3,34.1319,1.16551,1.02253,1.28509,0.68349,0.71039,0.77902,0.46856,1.19581,1.16057,1.41037,0.00138809,0.00138809,0.00138809
4,44.4772,1.17902,0.98937,1.30044,0.70771,0.76531,0.78562,0.47412,1.59711,1.54691,1.77507,0.00138656,0.00138656,0.00138656
5,54.3181,1.15563,0.94336,1.29079,0.79139,0.75932,0.8537,0.52037,1.19993,0.99599,1.41883,0.00137241,0.00137241,0.00137241
6,64.7505,1.12237,0.88957,1.25146,0.72383,0.82032,0.86841,0.55755,1.26206,0.95674,1.45847,0.00135826,0.00135826,0.00135826
7,75.2857,1.12323,0.88074,1.24645,0.83529,0.83823,0.88433,0.57018,1.14083,0.81967,1.37581,0.00134412,0.00134412,0.00134412
8,85.7198,1.11136,0.86862,1.25962,0.80135,0.85681,0.89509,0.57878,1.1555,0.81054,1.37576,0.00132997,0.00132997,0.00132997
9,97.8224,1.08537,0.8577,1.23537,0.8094,0.80923,0.85931,0.54196,1.17742,0.85277,1.40198,0.00131582,0.00131582,0.00131582
10,107.676,1.09982,0.8206,1.2529,0.85807,0.87736,0.91269,0.60122,1.13117,0.78959,1.3643,0.00130168,0.00130168,0.00130168
11,118.095,1.09446,0.83395,1.25342,0.84676,0.90417,0.91091,0.59537,1.14953,0.79458,1.37896,0.00128753,0.00128753,0.00128753
12,129.31,1.05365,0.81593,1.22084,0.81797,0.83605,0.89281,0.5927,1.13712,0.81175,1.36836,0.00127338,0.00127338,0.00127338
13,139.827,1.06414,0.81603,1.24103,0.82561,0.89237,0.90398,0.58306,1.14521,0.79569,1.36387,0.00125923,0.00125923,0.00125923
14,150.325,1.06506,0.80377,1.23449,0.82291,0.87401,0.89601,0.58627,1.14918,0.7855,1.40226,0.00124509,0.00124509,0.00124509
15,160.713,1.06104,0.80056,1.2335,0.82626,0.88916,0.90858,0.59807,1.11746,0.76127,1.36271,0.00123094,0.00123094,0.00123094
16,170.587,1.04555,0.78219,1.21152,0.83565,0.88147,0.90126,0.58829,1.11028,0.79137,1.36274,0.00121679,0.00121679,0.00121679
17,180.977,1.03145,0.76791,1.21304,0.85246,0.91395,0.92274,0.6173,1.08856,0.74664,1.33093,0.00120265,0.00120265,0.00120265
18,191.636,1.06388,0.78878,1.23634,0.8514,0.86353,0.89709,0.57917,1.17649,0.81442,1.40691,0.0011885,0.0011885,0.0011885
19,202.077,1.0326,0.76945,1.20993,0.85246,0.92382,0.92241,0.61966,1.13236,0.72254,1.37255,0.00117435,0.00117435,0.00117435
20,212.493,1.03464,0.75791,1.19387,0.80976,0.88566,0.89023,0.56909,1.15711,0.77009,1.38331,0.00116021,0.00116021,0.00116021
21,222.361,1.04008,0.76557,1.22316,0.8518,0.87718,0.90361,0.59554,1.15366,0.76611,1.38838,0.00114606,0.00114606,0.00114606
22,232.814,1.01672,0.72466,1.20942,0.83308,0.8906,0.90522,0.61098,1.12278,0.75027,1.36484,0.00113191,0.00113191,0.00113191
23,243.364,1.02174,0.71619,1.18601,0.84588,0.87896,0.9069,0.6049,1.12179,0.76656,1.36104,0.00111776,0.00111776,0.00111776
24,253.81,1.00426,0.73208,1.18604,0.87621,0.9063,0.92987,0.63481,1.09361,0.69182,1.33026,0.00110362,0.00110362,0.00110362
25,263.889,1.02382,0.70946,1.20588,0.87108,0.89069,0.9261,0.62867,1.08761,0.70501,1.32531,0.00108947,0.00108947,0.00108947
26,274.08,1.01617,0.71389,1.1896,0.85458,0.84595,0.89365,0.59061,1.15867,0.78832,1.38879,0.00107532,0.00107532,0.00107532
27,284.595,1.05097,0.75386,1.23228,0.81985,0.88918,0.89443,0.56917,1.16948,0.77515,1.3979,0.00106118,0.00106118,0.00106118
28,295.032,1.02065,0.73698,1.21328,0.85665,0.90946,0.91747,0.61325,1.12737,0.71325,1.36554,0.00104703,0.00104703,0.00104703
