epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.69303,1.47224,3.09175,1.5096,0.04452,0.63489,0.28201,0.17072,1.21773,2.80276,1.17972,0.00025722,0.00025722,0.00025722
2,12.8502,1.26529,1.59133,1.33344,0.92249,0.29922,0.52277,0.3469,1.30499,2.38913,1.29135,0.000518261,0.000518261,0.000518261
3,18.2961,1.21064,1.24987,1.34116,0.86705,0.59816,0.79187,0.47804,1.50095,1.67717,1.25706,0.00076855,0.00076855,0.00076855
4,23.555,1.15744,1.15247,1.28091,0.85097,0.72141,0.83277,0.53259,1.25868,1.46256,1.20974,0.00100809,0.00100809,0.00100809
5,29.7562,1.15064,1.10591,1.25687,0.80818,0.73929,0.84931,0.53599,1.1715,1.1123,1.15774,0.00123687,0.00123687,0.00123687
6,34.6365,1.14199,1.06496,1.24218,0.78587,0.8403,0.88295,0.5717,1.13426,1.22779,1.11799,0.00128753,0.00128753,0.00128753
7,40.8388,1.10744,1.03313,1.21961,0.78885,0.87134,0.87873,0.58056,1.1406,1.02099,1.11328,0.00125923,0.00125923,0.00125923
8,45.9202,1.08881,1.00103,1.20796,0.83654,0.89367,0.8905,0.57991,1.1244,1.00875,1.11658,0.00123094,0.00123094,0.00123094
9,51.5111,1.08651,0.95166,1.19696,0.82471,0.89634,0.88818,0.55564,1.18108,1.04356,1.19517,0.00120265,0.00120265,0.00120265
10,56.9766,1.09324,0.9419,1.20482,0.78815,0.88382,0.8833,0.56738,1.1393,0.87717,1.1941,0.00117435,0.00117435,0.00117435
11,62.0824,1.06995,0.93341,1.18747,0.82911,0.88153,0.88699,0.58054,1.12519,0.92667,1.12981,0.00114606,0.00114606,0.00114606
12,68.2611,1.03998,0.90941,1.16361,0.82062,0.92112,0.91098,0.60701,1.09353,0.82931,1.10433,0.00111776,0.00111776,0.00111776
13,73.7289,1.08661,0.91252,1.19289,0.80774,0.89816,0.90388,0.5975,1.08801,0.83872,1.11159,0.00108947,0.00108947,0.00108947
14,79.9404,1.05053,0.90266,1.17056,0.83528,0.87043,0.90674,0.60122,1.08944,0.87496,1.11415,0.00106118,0.00106118,0.00106118
15,85.1103,1.05252,0.90488,1.16979,0.81652,0.91423,0.90916,0.61683,1.09517,0.81885,1.16055,0.00103288,0.00103288,0.00103288
16,90.7363,1.04817,0.89445,1.15889,0.84712,0.89683,0.91105,0.60677,1.08142,0.8611,1.13809,0.00100459,0.00100459,0.00100459
17,96.1465,1.0466,0.85654,1.16291,0.85787,0.91929,0.92143,0.61683,1.0689,0.73758,1.13081,0.000976293,0.000976293,0.000976293
18,101.344,1.06538,0.84827,1.18212,0.86454,0.90195,0.92547,0.62473,1.0645,0.75518,1.10272,0.000947999,0.000947999,0.000947999
19,107.322,1.03419,0.83814,1.1537,0.80416,0.895,0.88239,0.58416,1.12934,0.76426,1.1634,0.000919704,0.000919704,0.000919704
20,112.478,1.02466,0.82143,1.1417,0.82852,0.89911,0.89265,0.60577,1.09787,0.7956,1.14613,0.00089141,0.00089141,0.00089141
21,118.2,1.04363,0.83626,1.15901,0.8411,0.93412,0.91606,0.62611,1.06608,0.74685,1.13208,0.000863116,0.000863116,0.000863116
22,123.483,1.01273,0.80591,1.13809,0.84903,0.89482,0.90299,0.60282,1.08858,0.74888,1.13716,0.000834822,0.000834822,0.000834822
23,128.621,1.01268,0.79318,1.13556,0.83905,0.87975,0.90864,0.61244,1.10732,0.77647,1.1286,0.000806528,0.000806528,0.000806528
24,134.687,0.98274,0.77138,1.12352,0.84796,0.90844,0.91915,0.62122,1.0766,0.76737,1.12634,0.000778233,0.000778233,0.000778233
25,139.939,0.98573,0.7516,1.12908,0.85149,0.91171,0.91871,0.62469,1.05682,0.83782,1.10644,0.000749939,0.000749939,0.000749939
26,145.953,0.98529,0.76195,1.11353,0.84707,0.89959,0.91554,0.62063,1.05386,0.74946,1.11127,0.000721645,0.000721645,0.000721645
27,151.002,1.00115,0.80321,1.14406,0.85938,0.90345,0.91852,0.62064,1.06541,0.70508,1.12406,0.000693351,0.000693351,0.000693351
28,156.937,0.99506,0.77453,1.12952,0.83145,0.9231,0.91677,0.62105,1.06182,0.70479,1.1108,0.000665057,0.000665057,0.000665057
29,161.985,0.99197,0.76626,1.11635,0.83711,0.88978,0.89447,0.58352,1.15446,0.83682,1.22488,0.000636762,0.000636762,0.000636762
30,166.92,0.97127,0.75645,1.11372,0.82449,0.93029,0.91576,0.61073,1.11596,0.7115,1.13593,0.000608468,0.000608468,0.000608468
31,172.918,0.96971,0.73688,1.11316,0.85706,0.92046,0.92707,0.64184,1.03788,0.69312,1.10847,0.000580174,0.000580174,0.000580174
32,177.899,0.97925,0.72799,1.10857,0.86288,0.89244,0.92111,0.62386,1.05952,0.73426,1.10898,0.00055188,0.00055188,0.00055188
33,183.941,0.95533,0.7393,1.10263,0.86391,0.88421,0.92498,0.62059,1.05133,0.67554,1.11723,0.000523586,0.000523586,0.000523586
34,189.206,0.94508,0.71346,1.0946,0.86439,0.90639,0.92821,0.60885,1.09136,0.68554,1.13173,0.000495291,0.000495291,0.000495291
35,195.055,0.95584,0.72675,1.10254,0.82465,0.92569,0.92353,0.62513,1.05636,0.68153,1.12206,0.000466997,0.000466997,0.000466997
36,200.28,0.93831,0.69997,1.09439,0.87021,0.92124,0.93013,0.62067,1.06526,0.6782,1.11396,0.000438703,0.000438703,0.000438703
37,205.394,0.94335,0.68964,1.09206,0.85022,0.92056,0.92055,0.63443,1.04194,0.67756,1.10505,0.000410409,0.000410409,0.000410409
38,211.356,0.9507,0.69794,1.09001,0.86899,0.90298,0.9205,0.62811,1.04686,0.672,1.11163,0.000382115,0.000382115,0.000382115
39,216.33,0.9471,0.69439,1.089,0.87008,0.90296,0.91856,0.60708,1.14316,0.7316,1.16017,0.00035382,0.00035382,0.00035382
40,222.422,0.94086,0.68669,1.08695,0.83766,0.92368,0.92678,0.63184,1.04904,0.65568,1.11112,0.000325526,0.000325526,0.000325526
41,229.304,0.96268,0.7708,1.10002,0.84014,0.90219,0.90752,0.58421,1.1912,0.74035,1.19893,0.000297232,0.000297232,0.000297232
42,235.439,0.94789,0.70059,1.07295,0.84283,0.88475,0.90616,0.60888,1.09154,0.73088,1.16258,0.000268938,0.000268938,0.000268938
43,240.054,0.92102,0.66823,1.07978,0.86526,0.91946,0.92385,0.62296,1.06953,0.7016,1.12729,0.000240644,0.000240644,0.000240644
44,245.148,0.9081,0.64386,1.06524,0.87447,0.9088,0.92171,0.62835,1.05259,0.68585,1.13123,0.000212349,0.000212349,0.000212349
45,250.746,0.88775,0.62921,1.05473,0.85534,0.93103,0.92346,0.63544,1.04601,0.67741,1.11781,0.000184055,0.000184055,0.000184055
46,255.464,0.88626,0.61239,1.04102,0.87621,0.90488,0.91827,0.63037,1.04769,0.66432,1.11797,0.000155761,0.000155761,0.000155761
